age,workclass,occupation,race,sex,education,native-country,marital-status
70,Without-pay,Handlers-cleaners,Asian-Pac-Islander,Male,Some-college,United-States,Divorced
55,Federal-gov,Handlers-cleaners,Other,Female,Some-college,United-States,Widowed
84,Without-pay,Other-service,Other,Female,Some-college,Trinadad&Tobago,Never-married
78,State-gov,Prof-specialty,White,Male,Doctorate,United-States,Married-AF-spouse
72,State-gov,Craft-repair,White,Female,Prof-school,United-States,Never-married
75,Without-pay,Armed-Forces,Amer-Indian-Eskimo,Male,11th,United-States,Widowed
40,Self-emp-not-inc,Protective-serv,Amer-Indian-Eskimo,Female,5th-6th,United-States,Separated
60,State-gov,Craft-repair,Amer-Indian-Eskimo,Male,Assoc-voc,United-States,Widowed
85,Without-pay,Sales,Asian-Pac-Islander,Male,Assoc-voc,United-States,Married-AF-spouse
54,Private,Transport-moving,White,Female,Assoc-voc,United-States,Divorced
55,Private,Adm-clerical,White,Male,Bachelors,United-States,Married-AF-spouse
65,Private,Adm-clerical,White,Male,5th-6th,United-States,Widowed
23,Self-emp-not-inc,Prof-specialty,White,Female,Bachelors,United-States,Never-married
21,Federal-gov,Tech-support,Other,Female,9th,United-States,Married-AF-spouse
47,Federal-gov,Armed-Forces,Black,Female,1st-4th,United-States,Married-AF-spouse
73,Federal-gov,Tech-support,Black,Male,10th,United-States,Married-AF-spouse
17,Federal-gov,Protective-serv,Black,Female,12th,United-States,Married-AF-spouse
83,Local-gov,Protective-serv,Black,Male,11th,United-States,Separated
66,Self-emp-not-inc,Tech-support,Other,Male,HS-grad,United-States,Married-spouse-absent
18,Self-emp-inc,Priv-house-serv,Amer-Indian-Eskimo,Female,Some-college,United-States,Divorced
24,Private,Transport-moving,Black,Female,Bachelors,United-States,Never-married
50,Self-emp-not-inc,Handlers-cleaners,Amer-Indian-Eskimo,Male,9th,United-States,Married-spouse-absent
74,Private,Priv-house-serv,Other,Female,Some-college,United-States,Never-married
34,State-gov,Protective-serv,Other,Male,12th,United-States,Divorced
44,Private,Other-service,White,Male,10th,United-States,Never-married
37,Self-emp-inc,Exec-managerial,White,Female,Bachelors,United-States,Married-spouse-absent
36,Without-pay,Prof-specialty,Amer-Indian-Eskimo,Female,7th-8th,United-States,Divorced
87,Federal-gov,Transport-moving,Black,Female,11th,United-States,Married-civ-spouse
46,Without-pay,Craft-repair,Amer-Indian-Eskimo,Male,Assoc-voc,United-States,Married-civ-spouse
88,Local-gov,Armed-Forces,White,Female,HS-grad,United-States,Widowed
28,Private,Tech-support,Amer-Indian-Eskimo,Male,Doctorate,United-States,Divorced
43,Self-emp-not-inc,Craft-repair,Other,Female,HS-grad,United-States,Separated
80,Federal-gov,Tech-support,White,Male,Prof-school,United-States,Married-spouse-absent
43,Self-emp-inc,Exec-managerial,Black,Male,Assoc-acdm,Hungary,Married-AF-spouse
77,State-gov,Handlers-cleaners,Amer-Indian-Eskimo,Male,10th,United-States,Widowed
66,Self-emp-inc,Adm-clerical,Other,Female,Masters,China,Married-AF-spouse
57,Local-gov,Armed-Forces,Black,Female,Masters,United-States,Married-AF-spouse
55,Federal-gov,Exec-managerial,Other,Female,Bachelors,United-States,Married-AF-spouse
31,Local-gov,Protective-serv,Black,Female,Assoc-voc,United-States,Separated
66,Self-emp-inc,Prof-specialty,White,Female,7th-8th,United-States,Married-spouse-absent
22,Self-emp-inc,Machine-op-inspct,Black,Female,12th,Cuba,Never-married
20,Without-pay,Craft-repair,Other,Female,7th-8th,United-States,Married-civ-spouse
57,Federal-gov,Priv-house-serv,Black,Female,Masters,United-States,Married-civ-spouse
31,Self-emp-inc,Handlers-cleaners,Asian-Pac-Islander,Male,Masters,United-States,Never-married
20,Private,Priv-house-serv,Other,Male,Prof-school,United-States,Married-civ-spouse
42,Private,Machine-op-inspct,Black,Male,Preschool,United-States,Married-spouse-absent
38,State-gov,Protective-serv,Other,Male,Doctorate,United-States,Separated
35,Federal-gov,Transport-moving,Black,Female,12th,Outlying-US(Guam-USVI-etc),Married-spouse-absent
19,Private,Adm-clerical,Black,Male,12th,United-States,Married-spouse-absent
67,Local-gov,Tech-support,White,Female,HS-grad,United-States,Divorced
88,Local-gov,Priv-house-serv,Asian-Pac-Islander,Male,9th,United-States,Married-spouse-absent
41,State-gov,Prof-specialty,Amer-Indian-Eskimo,Female,Assoc-acdm,United-States,Married-AF-spouse
17,Local-gov,Adm-clerical,Other,Male,5th-6th,Ecuador,Married-spouse-absent
55,Local-gov,Protective-serv,Asian-Pac-Islander,Male,5th-6th,United-States,Separated
43,State-gov,Farming-fishing,White,Female,HS-grad,United-States,Married-AF-spouse
43,Without-pay,Prof-specialty,Black,Male,10th,United-States,Widowed
40,Self-emp-not-inc,Protective-serv,Black,Female,Assoc-acdm,United-States,Widowed
52,Federal-gov,Protective-serv,White,Male,Doctorate,United-States,Married-spouse-absent
53,State-gov,Protective-serv,Asian-Pac-Islander,Male,Prof-school,United-States,Married-AF-spouse
61,Self-emp-not-inc,Exec-managerial,Asian-Pac-Islander,Female,Assoc-voc,United-States,Married-spouse-absent
47,Local-gov,Craft-repair,Other,Female,Prof-school,United-States,Separated
31,State-gov,Tech-support,Other,Male,Some-college,United-States,Divorced
67,Federal-gov,Prof-specialty,Other,Female,9th,United-States,Separated
76,State-gov,Priv-house-serv,Asian-Pac-Islander,Male,Assoc-voc,Poland,Married-spouse-absent
24,Local-gov,Tech-support,Asian-Pac-Islander,Male,5th-6th,United-States,Married-civ-spouse
48,Without-pay,Prof-specialty,White,Male,HS-grad,United-States,Divorced
36,Federal-gov,Priv-house-serv,Black,Male,1st-4th,United-States,Never-married
37,Private,Craft-repair,White,Male,10th,United-States,Never-married
24,Self-emp-not-inc,Exec-managerial,Asian-Pac-Islander,Male,Assoc-acdm,Portugal,Divorced
82,State-gov,Adm-clerical,Black,Male,7th-8th,United-States,Divorced
45,Self-emp-not-inc,Sales,Asian-Pac-Islander,Male,1st-4th,United-States,Separated
45,Self-emp-inc,Prof-specialty,Asian-Pac-Islander,Male,Masters,United-States,Married-spouse-absent
20,Private,Sales,Amer-Indian-Eskimo,Female,Some-college,United-States,Widowed
47,State-gov,Armed-Forces,Asian-Pac-Islander,Female,9th,United-States,Separated
87,Local-gov,Other-service,Black,Female,Masters,Vietnam,Married-spouse-absent
47,State-gov,Craft-repair,Amer-Indian-Eskimo,Female,12th,United-States,Divorced
49,Local-gov,Craft-repair,Black,Male,Masters,United-States,Married-civ-spouse
62,State-gov,Sales,Other,Male,11th,United-States,Divorced
58,Without-pay,Handlers-cleaners,Black,Male,Masters,United-States,Divorced
40,Federal-gov,Protective-serv,Black,Male,7th-8th,United-States,Separated
63,Federal-gov,Exec-managerial,Other,Male,11th,United-States,Married-spouse-absent
32,Self-emp-inc,Adm-clerical,Black,Female,Doctorate,United-States,Married-spouse-absent
20,Self-emp-inc,Sales,White,Male,Assoc-voc,United-States,Married-civ-spouse
19,Self-emp-inc,Tech-support,Asian-Pac-Islander,Female,Some-college,United-States,Widowed
56,State-gov,Transport-moving,White,Male,HS-grad,United-States,Divorced
83,Local-gov,Handlers-cleaners,Other,Male,Bachelors,United-States,Married-civ-spouse
66,State-gov,Other-service,White,Female,12th,United-States,Divorced
70,Local-gov,Protective-serv,Asian-Pac-Islander,Female,7th-8th,United-States,Married-AF-spouse
63,Federal-gov,Armed-Forces,Asian-Pac-Islander,Female,12th,United-States,Divorced
67,Self-emp-not-inc,Other-service,Other,Male,11th,United-States,Married-spouse-absent
34,State-gov,Adm-clerical,Amer-Indian-Eskimo,Female,9th,United-States,Married-spouse-absent
71,Private,Other-service,Black,Male,12th,Nicaragua,Divorced
73,Private,Handlers-cleaners,Amer-Indian-Eskimo,Male,5th-6th,United-States,Divorced
63,Private,Transport-moving,Other,Male,1st-4th,France,Married-civ-spouse
78,Private,Armed-Forces,Other,Male,10th,United-States,Married-spouse-absent
86,Local-gov,Priv-house-serv,Asian-Pac-Islander,Female,10th,United-States,Married-spouse-absent
46,Self-emp-not-inc,Sales,Other,Female,1st-4th,United-States,Married-spouse-absent
83,Federal-gov,Protective-serv,Amer-Indian-Eskimo,Female,7th-8th,United-States,Divorced
51,State-gov,Craft-repair,Black,Male,HS-grad,United-States,Married-AF-spouse
76,Local-gov,Priv-house-serv,Other,Male,11th,United-States,Widowed
64,Federal-gov,Transport-moving,Black,Female,12th,United-States,Separated
70,Without-pay,Handlers-cleaners,Amer-Indian-Eskimo,Female,10th,India,Married-AF-spouse
37,Private,Priv-house-serv,Other,Male,Bachelors,United-States,Widowed
57,Federal-gov,Adm-clerical,Black,Female,Doctorate,United-States,Separated
50,Federal-gov,Other-service,White,Female,HS-grad,United-States,Separated
53,State-gov,Machine-op-inspct,White,Female,1st-4th,United-States,Married-civ-spouse
51,Without-pay,Exec-managerial,Black,Female,12th,United-States,Divorced
47,State-gov,Adm-clerical,White,Female,10th,United-States,Married-civ-spouse
84,Local-gov,Protective-serv,Asian-Pac-Islander,Female,10th,United-States,Married-civ-spouse
71,Self-emp-not-inc,Prof-specialty,White,Male,HS-grad,United-States,Widowed
48,Local-gov,Exec-managerial,White,Female,1st-4th,United-States,Married-AF-spouse
67,Without-pay,Farming-fishing,Black,Male,Doctorate,United-States,Widowed
53,Without-pay,Protective-serv,Black,Male,12th,United-States,Divorced
43,Without-pay,Craft-repair,Asian-Pac-Islander,Female,HS-grad,United-States,Married-civ-spouse
44,State-gov,Priv-house-serv,White,Female,9th,Columbia,Divorced
68,Without-pay,Transport-moving,Black,Male,Bachelors,United-States,Divorced
18,Without-pay,Farming-fishing,Amer-Indian-Eskimo,Male,7th-8th,United-States,Separated
90,Local-gov,Priv-house-serv,Black,Female,Doctorate,United-States,Married-AF-spouse
82,Self-emp-not-inc,Transport-moving,Amer-Indian-Eskimo,Male,10th,Guatemala,Never-married
73,State-gov,Priv-house-serv,Black,Female,1st-4th,United-States,Never-married
35,Private,Other-service,Amer-Indian-Eskimo,Male,Preschool,United-States,Married-spouse-absent
50,Local-gov,Protective-serv,Amer-Indian-Eskimo,Male,Some-college,United-States,Married-AF-spouse
51,Private,Craft-repair,Asian-Pac-Islander,Male,HS-grad,United-States,Separated
55,State-gov,Craft-repair,Black,Male,HS-grad,United-States,Divorced
61,Self-emp-inc,Priv-house-serv,Black,Male,10th,United-States,Separated
52,Federal-gov,Exec-managerial,Other,Male,Some-college,Scotland,Married-AF-spouse
35,Self-emp-inc,Tech-support,Amer-Indian-Eskimo,Female,Bachelors,United-States,Widowed
81,Without-pay,Transport-moving,Amer-Indian-Eskimo,Male,Masters,United-States,Separated
61,Self-emp-inc,Sales,Amer-Indian-Eskimo,Male,HS-grad,South,Never-married
28,Without-pay,Transport-moving,White,Male,10th,United-States,Married-civ-spouse
81,Local-gov,Sales,Asian-Pac-Islander,Female,5th-6th,United-States,Widowed
55,State-gov,Adm-clerical,White,Female,Preschool,United-States,Divorced
72,Self-emp-inc,Craft-repair,Other,Male,Assoc-acdm,United-States,Married-AF-spouse
78,Private,Transport-moving,Amer-Indian-Eskimo,Female,1st-4th,United-States,Divorced
26,Self-emp-not-inc,Tech-support,White,Male,Preschool,United-States,Divorced
46,Private,Tech-support,White,Female,Preschool,Cuba,Married-spouse-absent
34,Federal-gov,Farming-fishing,Other,Female,1st-4th,United-States,Widowed
58,State-gov,Priv-house-serv,Other,Male,5th-6th,United-States,Widowed
22,Federal-gov,Priv-house-serv,Black,Female,Assoc-acdm,United-States,Married-civ-spouse
52,State-gov,Armed-Forces,Other,Female,Doctorate,United-States,Widowed
25,State-gov,Machine-op-inspct,White,Female,10th,United-States,Married-civ-spouse
20,State-gov,Protective-serv,Asian-Pac-Islander,Female,7th-8th,United-States,Widowed
75,Without-pay,Sales,White,Female,1st-4th,United-States,Divorced
84,Private,Adm-clerical,Black,Male,Assoc-acdm,United-States,Widowed
55,Without-pay,Transport-moving,Black,Male,11th,United-States,Married-civ-spouse
38,Federal-gov,Machine-op-inspct,Amer-Indian-Eskimo,Female,5th-6th,China,Married-spouse-absent
41,Private,Farming-fishing,Black,Male,Some-college,United-States,Separated
28,Federal-gov,Priv-house-serv,Other,Male,Assoc-acdm,United-States,Married-AF-spouse
80,Self-emp-not-inc,Prof-specialty,Other,Male,7th-8th,United-States,Married-spouse-absent
38,Self-emp-inc,Exec-managerial,Asian-Pac-Islander,Male,9th,United-States,Married-spouse-absent
20,Without-pay,Transport-moving,White,Female,9th,United-States,Married-civ-spouse
42,State-gov,Priv-house-serv,Asian-Pac-Islander,Male,Some-college,United-States,Married-spouse-absent
32,Self-emp-inc,Exec-managerial,White,Female,Bachelors,United-States,Widowed
69,State-gov,Armed-Forces,Black,Female,Masters,United-States,Widowed
58,State-gov,Tech-support,Asian-Pac-Islander,Male,1st-4th,Peru,Divorced
18,Self-emp-inc,Handlers-cleaners,Asian-Pac-Islander,Female,Bachelors,United-States,Married-spouse-absent
42,State-gov,Transport-moving,Black,Female,11th,United-States,Married-civ-spouse
90,Private,Handlers-cleaners,White,Female,Assoc-acdm,United-States,Married-civ-spouse
84,Private,Protective-serv,Asian-Pac-Islander,Male,Doctorate,United-States,Married-spouse-absent
64,Self-emp-not-inc,Sales,Other,Male,Assoc-voc,United-States,Never-married
26,Self-emp-inc,Craft-repair,Asian-Pac-Islander,Female,9th,United-States,Married-civ-spouse
76,State-gov,Armed-Forces,White,Male,1st-4th,United-States,Divorced
64,Self-emp-not-inc,Protective-serv,Other,Male,Bachelors,United-States,Married-spouse-absent
19,Private,Prof-specialty,Amer-Indian-Eskimo,Male,HS-grad,United-States,Married-civ-spouse
55,State-gov,Armed-Forces,Amer-Indian-Eskimo,Male,Masters,United-States,Separated
85,Local-gov,Protective-serv,Black,Female,12th,United-States,Never-married
23,Federal-gov,Handlers-cleaners,Black,Male,7th-8th,Yugoslavia,Widowed
40,Local-gov,Farming-fishing,Black,Female,Some-college,United-States,Separated
61,Self-emp-not-inc,Prof-specialty,Asian-Pac-Islander,Male,Assoc-voc,Laos,Separated
46,Federal-gov,Armed-Forces,Other,Male,5th-6th,United-States,Married-AF-spouse
72,Federal-gov,Sales,Other,Female,Prof-school,United-States,Divorced
83,Federal-gov,Handlers-cleaners,White,Male,Some-college,United-States,Married-spouse-absent
73,Federal-gov,Prof-specialty,Black,Male,Masters,United-States,Widowed
50,Federal-gov,Prof-specialty,Other,Male,Bachelors,United-States,Divorced
73,Self-emp-inc,Armed-Forces,White,Female,Assoc-acdm,Ecuador,Married-spouse-absent
83,Self-emp-inc,Armed-Forces,Asian-Pac-Islander,Male,Assoc-voc,United-States,Married-spouse-absent
25,Self-emp-not-inc,Protective-serv,Black,Male,Assoc-voc,Yugoslavia,Married-spouse-absent
61,Private,Exec-managerial,Amer-Indian-Eskimo,Female,10th,United-States,Married-civ-spouse
27,State-gov,Sales,Other,Female,Preschool,Ireland,Married-civ-spouse
51,Federal-gov,Farming-fishing,White,Female,HS-grad,United-States,Married-civ-spouse
21,Federal-gov,Craft-repair,White,Male,Preschool,United-States,Never-married
17,Self-emp-inc,Sales,White,Female,Preschool,United-States,Separated
39,Federal-gov,Protective-serv,White,Female,1st-4th,United-States,Separated
36,Local-gov,Armed-Forces,Black,Female,12th,United-States,Divorced
38,Self-emp-inc,Handlers-cleaners,White,Female,HS-grad,China,Never-married
88,Private,Priv-house-serv,Asian-Pac-Islander,Male,10th,United-States,Married-civ-spouse
54,Local-gov,Adm-clerical,White,Female,HS-grad,United-States,Separated
59,Self-emp-inc,Craft-repair,Asian-Pac-Islander,Female,11th,Germany,Separated
47,Without-pay,Sales,Amer-Indian-Eskimo,Male,HS-grad,United-States,Never-married
83,Self-emp-inc,Craft-repair,Black,Male,Some-college,United-States,Married-AF-spouse
63,State-gov,Armed-Forces,Black,Male,Preschool,United-States,Divorced
47,Federal-gov,Prof-specialty,White,Male,Assoc-voc,United-States,Married-AF-spouse
22,Private,Exec-managerial,Asian-Pac-Islander,Male,Doctorate,United-States,Divorced
17,Local-gov,Protective-serv,White,Male,5th-6th,Yugoslavia,Married-spouse-absent
66,Self-emp-inc,Adm-clerical,Black,Female,11th,United-States,Married-spouse-absent
84,Local-gov,Exec-managerial,White,Male,Doctorate,United-States,Married-spouse-absent
70,Without-pay,Sales,Amer-Indian-Eskimo,Male,Assoc-voc,Holand-Netherlands,Separated
42,Private,Farming-fishing,Amer-Indian-Eskimo,Female,Prof-school,Vietnam,Never-married
55,State-gov,Priv-house-serv,Amer-Indian-Eskimo,Male,9th,United-States,Widowed
66,Local-gov,Prof-specialty,Asian-Pac-Islander,Female,Preschool,United-States,Married-spouse-absent
70,Self-emp-inc,Armed-Forces,White,Female,Masters,United-States,Married-AF-spouse
35,Federal-gov,Tech-support,Amer-Indian-Eskimo,Male,Assoc-voc,Canada,Widowed
61,Without-pay,Transport-moving,Black,Male,Doctorate,United-States,Never-married
20,Private,Machine-op-inspct,Black,Female,Prof-school,Iran,Separated
39,Without-pay,Tech-support,Black,Male,Preschool,United-States,Never-married
87,State-gov,Transport-moving,White,Male,1st-4th,United-States,Married-AF-spouse
42,Private,Transport-moving,White,Female,Assoc-voc,United-States,Married-spouse-absent
29,Private,Other-service,Asian-Pac-Islander,Male,10th,United-States,Separated
28,Without-pay,Handlers-cleaners,White,Female,Some-college,United-States,Divorced
56,Local-gov,Armed-Forces,Asian-Pac-Islander,Male,9th,United-States,Separated
86,Local-gov,Transport-moving,White,Male,Assoc-voc,United-States,Separated
24,Local-gov,Machine-op-inspct,Asian-Pac-Islander,Female,Prof-school,United-States,Never-married
87,Self-emp-not-inc,Priv-house-serv,Amer-Indian-Eskimo,Male,Assoc-acdm,United-States,Widowed
53,State-gov,Handlers-cleaners,Amer-Indian-Eskimo,Male,10th,United-States,Separated
66,Private,Farming-fishing,Asian-Pac-Islander,Female,Assoc-voc,United-States,Separated
84,Federal-gov,Protective-serv,Other,Male,Preschool,United-States,Married-civ-spouse
21,Federal-gov,Adm-clerical,White,Female,9th,United-States,Never-married
86,Self-emp-inc,Farming-fishing,Black,Female,7th-8th,United-States,Never-married
76,State-gov,Adm-clerical,Asian-Pac-Islander,Female,Assoc-voc,United-States,Separated
32,Local-gov,Adm-clerical,White,Male,HS-grad,Greece,Married-civ-spouse
63,Private,Craft-repair,White,Female,11th,United-States,Widowed
77,Self-emp-inc,Handlers-cleaners,Black,Female,Prof-school,United-States,Married-spouse-absent
46,Without-pay,Tech-support,Other,Female,5th-6th,United-States,Married-AF-spouse
75,Self-emp-not-inc,Exec-managerial,Black,Male,Bachelors,Ecuador,Widowed
62,Self-emp-inc,Priv-house-serv,Asian-Pac-Islander,Female,1st-4th,United-States,Married-spouse-absent
54,Local-gov,Sales,Other,Female,1st-4th,United-States,Divorced
43,Local-gov,Prof-specialty,Asian-Pac-Islander,Female,9th,United-States,Married-spouse-absent
72,Private,Craft-repair,Amer-Indian-Eskimo,Male,HS-grad,United-States,Married-spouse-absent
27,Self-emp-inc,Protective-serv,Amer-Indian-Eskimo,Male,12th,United-States,Never-married
85,Local-gov,Craft-repair,Black,Female,Assoc-acdm,United-States,Separated
43,Federal-gov,Armed-Forces,Other,Male,Preschool,United-States,Separated
84,Private,Machine-op-inspct,Asian-Pac-Islander,Male,Prof-school,United-States,Married-AF-spouse
82,Federal-gov,Priv-house-serv,Other,Male,9th,United-States,Never-married
87,Private,Armed-Forces,Amer-Indian-Eskimo,Female,Some-college,United-States,Married-spouse-absent
33,Private,Exec-managerial,Amer-Indian-Eskimo,Female,HS-grad,United-States,Married-AF-spouse
77,Federal-gov,Exec-managerial,Amer-Indian-Eskimo,Female,Bachelors,United-States,Never-married
22,State-gov,Exec-managerial,Black,Female,Preschool,Nicaragua,Divorced
76,State-gov,Adm-clerical,Asian-Pac-Islander,Female,7th-8th,United-States,Married-AF-spouse
85,Federal-gov,Handlers-cleaners,Black,Female,11th,France,Never-married
27,Private,Other-service,Black,Male,10th,United-States,Divorced
80,Federal-gov,Adm-clerical,Black,Female,Prof-school,United-States,Separated
69,Without-pay,Protective-serv,Other,Female,Assoc-voc,United-States,Married-AF-spouse
66,Without-pay,Other-service,White,Male,Preschool,United-States,Married-spouse-absent
63,Without-pay,Other-service,Black,Female,Assoc-voc,United-States,Never-married
28,Self-emp-not-inc,Transport-moving,Asian-Pac-Islander,Male,Assoc-acdm,United-States,Never-married
74,Without-pay,Exec-managerial,Black,Male,Doctorate,United-States,Separated
29,Federal-gov,Prof-specialty,Asian-Pac-Islander,Female,Prof-school,United-States,Married-spouse-absent
38,Without-pay,Machine-op-inspct,Black,Female,9th,United-States,Married-civ-spouse
40,Self-emp-inc,Farming-fishing,Black,Female,Preschool,United-States,Married-civ-spouse
60,Without-pay,Armed-Forces,Black,Female,1st-4th,United-States,Never-married
41,Self-emp-not-inc,Protective-serv,Asian-Pac-Islander,Female,10th,United-States,Married-AF-spouse
48,Federal-gov,Machine-op-inspct,Other,Male,7th-8th,United-States,Married-civ-spouse
42,Self-emp-not-inc,Adm-clerical,White,Male,Doctorate,United-States,Married-civ-spouse
44,Self-emp-not-inc,Adm-clerical,Other,Male,1st-4th,United-States,Separated
66,Without-pay,Machine-op-inspct,Other,Female,Prof-school,United-States,Never-married
64,Without-pay,Craft-repair,Other,Female,Some-college,Vietnam,Separated
51,Without-pay,Tech-support,Asian-Pac-Islander,Male,Some-college,United-States,Married-spouse-absent
18,State-gov,Armed-Forces,White,Female,9th,United-States,Widowed
27,Without-pay,Sales,Amer-Indian-Eskimo,Female,10th,United-States,Widowed
63,Private,Farming-fishing,Other,Female,Doctorate,United-States,Never-married
38,Federal-gov,Craft-repair,Asian-Pac-Islander,Female,10th,Ireland,Separated
48,State-gov,Farming-fishing,Black,Female,1st-4th,Columbia,Widowed
83,Self-emp-inc,Adm-clerical,Asian-Pac-Islander,Female,Assoc-voc,United-States,Divorced
50,Local-gov,Transport-moving,Amer-Indian-Eskimo,Male,11th,United-States,Never-married
18,Self-emp-inc,Protective-serv,Asian-Pac-Islander,Female,Assoc-voc,United-States,Widowed
18,Federal-gov,Adm-clerical,Other,Female,5th-6th,United-States,Separated
31,Federal-gov,Craft-repair,Other,Female,Assoc-voc,United-States,Widowed
57,Self-emp-not-inc,Priv-house-serv,Amer-Indian-Eskimo,Female,Assoc-acdm,United-States,Separated
63,Local-gov,Farming-fishing,White,Male,1st-4th,Trinadad&Tobago,Widowed
79,Private,Priv-house-serv,Other,Male,9th,United-States,Never-married
64,Private,Machine-op-inspct,Amer-Indian-Eskimo,Female,Assoc-voc,United-States,Divorced
77,Self-emp-inc,Machine-op-inspct,White,Female,Prof-school,United-States,Widowed
84,Federal-gov,Sales,White,Female,Masters,United-States,Separated
73,Local-gov,Sales,Amer-Indian-Eskimo,Female,7th-8th,United-States,Widowed
