age,workclass,occupation,race,sex,education,native-country,marital-status,income
17,Private,Adm-clerical,White,Female,Some-college,United-States,Divorced,<=50K
45,Private,Adm-clerical,White,Female,9th,United-States,Married-civ-spouse,>50K
46,Self-emp-inc,Exec-managerial,White,Male,Some-college,United-States,Married-civ-spouse,>50K
20,Private,Prof-specialty,White,Male,Some-college,United-States,Never-married,<=50K
52,Private,Sales,Black,Female,Bachelors,United-States,Separated,<=50K
21,Self-emp-not-inc,Sales,White,Male,Bachelors,Iran,Married-civ-spouse,>50K
45,Private,Machine-op-inspct,White,Male,Some-college,United-States,Never-married,<=50K
76,Private,Prof-specialty,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
67,Private,Other-service,White,Male,HS-grad,Mexico,Never-married,<=50K
45,Private,Adm-clerical,White,Male,Assoc-acdm,United-States,Married-civ-spouse,<=50K
26,Private,Other-service,White,Female,HS-grad,United-States,Never-married,<=50K
17,Local-gov,Farming-fishing,White,Male,7th-8th,United-States,Married-civ-spouse,<=50K
17,Without-pay,Sales,White,Male,HS-grad,United-States,Never-married,<=50K
17,Private,Other-service,White,Male,Bachelors,Cuba,Married-civ-spouse,<=50K
23,Private,Other-service,White,Female,HS-grad,United-States,Married-civ-spouse,<=50K
80,Private,Sales,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
24,Private,Craft-repair,White,Female,HS-grad,United-States,Divorced,>50K
58,Private,Sales,White,Female,HS-grad,United-States,Divorced,<=50K
22,Local-gov,Protective-serv,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
45,Private,Prof-specialty,White,Male,Masters,United-States,Married-civ-spouse,<=50K
17,Private,Sales,White,Male,9th,United-States,Never-married,<=50K
38,Federal-gov,Prof-specialty,White,Female,Doctorate,United-States,Never-married,>50K
73,Private,Prof-specialty,White,Male,Assoc-voc,Mexico,Married-civ-spouse,<=50K
34,Private,Craft-repair,White,Female,Some-college,United-States,Divorced,<=50K
23,Private,Machine-op-inspct,Black,Female,Some-college,United-States,Widowed,<=50K
59,Local-gov,Protective-serv,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
58,Local-gov,Handlers-cleaners,White,Male,Some-college,Ireland,Never-married,<=50K
46,Self-emp-not-inc,Prof-specialty,White,Male,Doctorate,United-States,Married-civ-spouse,>50K
32,Private,Craft-repair,White,Male,Some-college,United-States,Married-civ-spouse,>50K
46,Private,Exec-managerial,White,Female,Assoc-acdm,Scotland,Divorced,<=50K
33,Federal-gov,Other-service,Black,Male,HS-grad,United-States,Never-married,<=50K
75,Private,Exec-managerial,White,Male,Masters,United-States,Married-civ-spouse,>50K
33,Private,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
30,Self-emp-not-inc,Prof-specialty,White,Female,Masters,United-States,Never-married,<=50K
17,Private,Tech-support,White,Male,Some-college,United-States,Never-married,<=50K
39,Private,Craft-repair,White,Male,HS-grad,United-States,Never-married,<=50K
33,Self-emp-inc,Craft-repair,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
51,Private,Handlers-cleaners,White,Male,11th,United-States,Never-married,<=50K
17,Without-pay,Adm-clerical,White,Female,HS-grad,United-States,Never-married,<=50K
31,Private,Handlers-cleaners,White,Male,HS-grad,El-Salvador,Married-civ-spouse,<=50K
17,Private,Sales,White,Male,Bachelors,United-States,Never-married,<=50K
40,Private,Prof-specialty,White,Male,Prof-school,United-States,Married-civ-spouse,>50K
56,Self-emp-not-inc,Other-service,White,Male,HS-grad,Canada,Married-civ-spouse,>50K
54,Private,Sales,White,Female,Some-college,United-States,Married-civ-spouse,<=50K
17,Private,Sales,White,Female,HS-grad,Canada,Never-married,<=50K
74,Private,Handlers-cleaners,White,Male,9th,Hong,Married-civ-spouse,<=50K
70,Self-emp-inc,Sales,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
20,Local-gov,Craft-repair,Black,Male,Assoc-voc,United-States,Married-civ-spouse,>50K
61,Private,Sales,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
17,Private,Craft-repair,White,Male,HS-grad,Hungary,Never-married,<=50K
17,Private,Other-service,White,Female,Some-college,United-States,Married-civ-spouse,<=50K
38,Private,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
17,Private,Exec-managerial,Black,Male,Bachelors,Germany,Never-married,<=50K
23,State-gov,Prof-specialty,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
17,Private,Other-service,Black,Male,Some-college,United-States,Never-married,<=50K
82,Private,Exec-managerial,White,Female,Bachelors,United-States,Married-civ-spouse,>50K
24,Private,Adm-clerical,White,Female,Some-college,United-States,Never-married,<=50K
60,Private,Adm-clerical,White,Male,Assoc-acdm,Columbia,Married-civ-spouse,>50K
27,Private,Craft-repair,White,Male,Some-college,United-States,Divorced,<=50K
42,Private,Sales,White,Female,Assoc-acdm,United-States,Never-married,<=50K
42,Private,Craft-repair,White,Female,Masters,United-States,Never-married,<=50K
45,Self-emp-not-inc,Craft-repair,White,Male,HS-grad,United-States,Never-married,<=50K
43,Private,Sales,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
47,Private,Tech-support,Black,Female,Assoc-acdm,United-States,Divorced,<=50K
29,Federal-gov,Prof-specialty,White,Male,Masters,Haiti,Married-civ-spouse,>50K
18,Self-emp-not-inc,Craft-repair,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
31,Self-emp-not-inc,Adm-clerical,White,Female,Assoc-voc,United-States,Married-civ-spouse,<=50K
17,Private,Sales,White,Male,Some-college,United-States,Never-married,<=50K
41,Private,Craft-repair,Asian-Pac-Islander,Male,Some-college,United-States,Married-civ-spouse,>50K
56,Self-emp-inc,Transport-moving,White,Male,HS-grad,United-States,Widowed,<=50K
28,Private,Sales,White,Female,Some-college,Mexico,Never-married,<=50K
17,Private,Protective-serv,White,Male,Some-college,Mexico,Married-AF-spouse,<=50K
50,Private,Prof-specialty,White,Female,Assoc-voc,United-States,Never-married,>50K
49,Private,Tech-support,White,Male,Some-college,United-States,Never-married,<=50K
17,Private,Transport-moving,Black,Female,HS-grad,United-States,Never-married,<=50K
30,Private,Other-service,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
45,Private,Other-service,White,Female,HS-grad,United-States,Widowed,<=50K
61,Private,Craft-repair,White,Male,11th,United-States,Married-civ-spouse,<=50K
43,Local-gov,Adm-clerical,White,Female,Some-college,Mexico,Divorced,<=50K
44,Private,Adm-clerical,White,Female,HS-grad,United-States,Never-married,<=50K
17,Private,Exec-managerial,Asian-Pac-Islander,Female,Bachelors,Philippines,Never-married,<=50K
25,Private,Craft-repair,White,Male,HS-grad,United-States,Never-married,<=50K
56,Private,Craft-repair,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
40,Private,Handlers-cleaners,White,Male,Bachelors,Germany,Never-married,<=50K
87,Self-emp-not-inc,Sales,Black,Male,Some-college,United-States,Separated,<=50K
17,Private,Craft-repair,White,Male,HS-grad,United-States,Divorced,<=50K
35,Private,Other-service,Black,Male,Bachelors,United-States,Separated,<=50K
31,Private,Other-service,White,Female,HS-grad,United-States,Never-married,<=50K
63,Self-emp-inc,Exec-managerial,Asian-Pac-Islander,Female,Masters,United-States,Divorced,<=50K
17,Private,Exec-managerial,Asian-Pac-Islander,Female,HS-grad,England,Never-married,<=50K
50,Self-emp-not-inc,Sales,White,Male,Masters,United-States,Married-civ-spouse,>50K
29,Private,Other-service,White,Female,Some-college,Mexico,Divorced,<=50K
48,Federal-gov,Exec-managerial,White,Male,Assoc-acdm,United-States,Never-married,<=50K
17,State-gov,Protective-serv,White,Male,Masters,United-States,Widowed,<=50K
25,Private,Handlers-cleaners,White,Male,11th,United-States,Never-married,<=50K
68,Local-gov,Armed-Forces,White,Female,7th-8th,United-States,Widowed,<=50K
44,Private,Other-service,White,Male,Bachelors,United-States,Never-married,<=50K
30,State-gov,Protective-serv,White,Male,HS-grad,Iran,Married-civ-spouse,<=50K
89,Private,Sales,White,Male,Some-college,Haiti,Married-civ-spouse,>50K
39,Private,Craft-repair,White,Male,Bachelors,United-States,Never-married,<=50K
27,State-gov,Prof-specialty,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
17,Private,Sales,White,Female,HS-grad,United-States,Married-spouse-absent,<=50K
24,Private,Craft-repair,Black,Male,HS-grad,United-States,Never-married,<=50K
40,Private,Handlers-cleaners,Black,Male,HS-grad,United-States,Never-married,<=50K
17,Private,Other-service,White,Male,HS-grad,United-States,Never-married,<=50K
20,Private,Prof-specialty,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
52,Local-gov,Exec-managerial,Black,Male,Some-college,United-States,Widowed,>50K
54,Private,Adm-clerical,White,Female,Some-college,Greece,Divorced,<=50K
26,Private,Craft-repair,Black,Male,Some-college,United-States,Never-married,<=50K
62,Private,Machine-op-inspct,White,Male,7th-8th,Mexico,Married-civ-spouse,>50K
40,Federal-gov,Adm-clerical,White,Male,Some-college,United-States,Married-civ-spouse,>50K
38,Private,Adm-clerical,Black,Male,HS-grad,United-States,Married-civ-spouse,<=50K
58,Self-emp-not-inc,Exec-managerial,White,Female,Bachelors,United-States,Divorced,<=50K
31,Private,Prof-specialty,Black,Female,Masters,United-States,Married-civ-spouse,<=50K
66,State-gov,Prof-specialty,White,Male,Doctorate,United-States,Married-civ-spouse,>50K
52,Private,Machine-op-inspct,Black,Female,Some-college,United-States,Divorced,<=50K
48,Private,Machine-op-inspct,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
38,Local-gov,Craft-repair,Black,Male,Bachelors,Laos,Married-civ-spouse,<=50K
17,Private,Tech-support,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
40,Federal-gov,Tech-support,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
17,Private,Transport-moving,White,Male,5th-6th,Mexico,Married-civ-spouse,<=50K
36,Private,Craft-repair,White,Male,Some-college,United-States,Never-married,<=50K
24,Federal-gov,Transport-moving,White,Female,Masters,United-States,Never-married,>50K
29,Private,Prof-specialty,White,Male,Masters,United-States,Married-civ-spouse,>50K
61,Self-emp-not-inc,Sales,White,Male,HS-grad,United-States,Never-married,<=50K
17,Private,Prof-specialty,White,Female,Masters,United-States,Never-married,<=50K
63,Private,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
17,Local-gov,Prof-specialty,White,Female,Some-college,United-States,Never-married,<=50K
30,State-gov,Adm-clerical,White,Female,HS-grad,Cuba,Divorced,<=50K
17,Private,Sales,White,Female,11th,United-States,Never-married,<=50K
33,Private,Other-service,Black,Male,Bachelors,United-States,Married-civ-spouse,>50K
17,Private,Craft-repair,White,Male,HS-grad,United-States,Divorced,<=50K
68,Self-emp-inc,Sales,White,Female,HS-grad,United-States,Married-civ-spouse,>50K
27,Private,Sales,White,Female,11th,United-States,Never-married,<=50K
56,Local-gov,Transport-moving,Black,Male,HS-grad,United-States,Married-civ-spouse,<=50K
24,Private,Craft-repair,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
60,Private,Sales,Amer-Indian-Eskimo,Female,Some-college,United-States,Never-married,<=50K
17,Private,Craft-repair,Asian-Pac-Islander,Male,HS-grad,United-States,Married-civ-spouse,<=50K
49,Self-emp-inc,Machine-op-inspct,White,Male,7th-8th,United-States,Married-civ-spouse,>50K
51,Private,Exec-managerial,Black,Male,Bachelors,United-States,Never-married,>50K
20,Private,Sales,White,Female,Assoc-acdm,Columbia,Divorced,<=50K
24,Private,Sales,White,Male,Bachelors,Poland,Married-civ-spouse,<=50K
40,Private,Prof-specialty,White,Male,Bachelors,United-States,Married-civ-spouse,<=50K
21,Private,Craft-repair,White,Male,10th,United-States,Never-married,<=50K
17,Private,Handlers-cleaners,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
90,Private,Other-service,Black,Male,HS-grad,United-States,Separated,<=50K
55,Private,Adm-clerical,Black,Male,HS-grad,United-States,Married-civ-spouse,<=50K
49,Local-gov,Machine-op-inspct,White,Female,Preschool,United-States,Never-married,<=50K
17,Private,Sales,White,Female,HS-grad,Ireland,Never-married,<=50K
81,Private,Farming-fishing,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
86,Private,Adm-clerical,White,Female,Assoc-voc,Scotland,Widowed,<=50K
64,Private,Adm-clerical,White,Female,HS-grad,United-States,Divorced,<=50K
24,Private,Transport-moving,Black,Male,11th,United-States,Separated,<=50K
39,Private,Sales,Black,Female,HS-grad,United-States,Divorced,<=50K
57,Private,Adm-clerical,White,Male,Some-college,United-States,Never-married,<=50K
42,Private,Craft-repair,Other,Female,Some-college,United-States,Divorced,<=50K
17,Private,Prof-specialty,White,Male,Prof-school,United-States,Never-married,>50K
58,State-gov,Other-service,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
42,State-gov,Adm-clerical,White,Female,Some-college,United-States,Never-married,<=50K
24,Private,Exec-managerial,White,Male,Bachelors,Iran,Married-AF-spouse,>50K
43,Local-gov,Exec-managerial,White,Male,Masters,United-States,Married-AF-spouse,>50K
17,Private,Transport-moving,White,Male,HS-grad,El-Salvador,Never-married,<=50K
51,Private,Prof-specialty,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
29,Self-emp-not-inc,Other-service,White,Female,HS-grad,Poland,Married-civ-spouse,<=50K
35,State-gov,Protective-serv,White,Male,Assoc-acdm,United-States,Married-civ-spouse,<=50K
52,Private,Craft-repair,White,Male,Some-college,United-States,Divorced,<=50K
61,Private,Adm-clerical,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
19,Private,Other-service,White,Female,HS-grad,United-States,Never-married,<=50K
31,Private,Tech-support,White,Male,Assoc-acdm,United-States,Married-civ-spouse,>50K
67,Private,Prof-specialty,Black,Female,Prof-school,United-States,Married-civ-spouse,>50K
45,Private,Adm-clerical,Black,Female,Bachelors,Italy,Married-civ-spouse,<=50K
59,Local-gov,Other-service,Black,Female,10th,Mexico,Widowed,<=50K
17,Local-gov,Adm-clerical,White,Male,Some-college,United-States,Never-married,<=50K
48,Private,Transport-moving,White,Male,Some-college,United-States,Never-married,<=50K
32,State-gov,Farming-fishing,Asian-Pac-Islander,Male,HS-grad,Cambodia,Married-civ-spouse,>50K
17,Private,Other-service,White,Female,HS-grad,United-States,Never-married,<=50K
35,Private,Other-service,White,Female,HS-grad,Cambodia,Separated,<=50K
27,Private,Exec-managerial,White,Male,Assoc-voc,United-States,Widowed,<=50K
45,Private,Craft-repair,White,Male,7th-8th,United-States,Divorced,<=50K
17,Private,Transport-moving,Other,Female,Bachelors,United-States,Divorced,<=50K
37,Private,Sales,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
17,Private,Other-service,White,Male,11th,United-States,Never-married,<=50K
90,Private,Sales,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
28,Private,Craft-repair,White,Male,11th,United-States,Married-civ-spouse,<=50K
44,Self-emp-inc,Exec-managerial,Asian-Pac-Islander,Male,Some-college,Thailand,Married-civ-spouse,>50K
89,Private,Exec-managerial,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
38,Private,Prof-specialty,White,Female,Bachelors,United-States,Never-married,<=50K
33,Private,Craft-repair,White,Female,HS-grad,United-States,Married-AF-spouse,>50K
69,Private,Exec-managerial,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
76,Private,Other-service,White,Male,9th,United-States,Never-married,<=50K
38,Self-emp-not-inc,Farming-fishing,White,Male,5th-6th,United-States,Married-civ-spouse,<=50K
30,Local-gov,Prof-specialty,White,Male,Masters,United-States,Never-married,<=50K
89,Private,Prof-specialty,White,Female,HS-grad,United-States,Divorced,<=50K
41,Private,Handlers-cleaners,Black,Male,HS-grad,United-States,Married-civ-spouse,<=50K
39,Private,Craft-repair,White,Male,Some-college,United-States,Married-civ-spouse,>50K
54,Private,Exec-managerial,White,Female,Some-college,United-States,Never-married,<=50K
29,Private,Tech-support,White,Female,Some-college,United-States,Never-married,<=50K
19,Private,Machine-op-inspct,White,Female,Some-college,United-States,Married-civ-spouse,>50K
21,Private,Prof-specialty,White,Female,Bachelors,Germany,Never-married,<=50K
22,Local-gov,Craft-repair,White,Male,Some-college,United-States,Married-civ-spouse,>50K
33,Private,Sales,Black,Female,Assoc-acdm,United-States,Divorced,<=50K
33,Private,Prof-specialty,White,Female,Bachelors,United-States,Divorced,<=50K
17,Private,Handlers-cleaners,White,Male,HS-grad,Thailand,Never-married,<=50K
90,Federal-gov,Sales,White,Male,Masters,United-States,Married-civ-spouse,>50K
61,Private,Prof-specialty,White,Male,Prof-school,United-States,Married-civ-spouse,>50K
61,Private,Other-service,White,Male,Some-college,United-States,Divorced,<=50K
31,Private,Exec-managerial,White,Female,Bachelors,United-States,Never-married,<=50K
49,Private,Craft-repair,White,Male,7th-8th,Ecuador,Married-civ-spouse,<=50K
29,Private,Prof-specialty,White,Male,Bachelors,Taiwan,Married-civ-spouse,<=50K
36,Private,Prof-specialty,White,Female,HS-grad,United-States,Divorced,<=50K
35,Federal-gov,Protective-serv,White,Male,Bachelors,United-States,Never-married,<=50K
35,Private,Sales,White,Male,Some-college,United-States,Never-married,<=50K
37,Private,Tech-support,Black,Female,Bachelors,Hong,Never-married,<=50K
59,Private,Transport-moving,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
42,Self-emp-inc,Sales,White,Female,Bachelors,United-States,Divorced,<=50K
17,Self-emp-not-inc,Craft-repair,White,Male,HS-grad,United-States,Divorced,<=50K
21,Private,Sales,White,Male,HS-grad,United-States,Divorced,<=50K
46,Private,Adm-clerical,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
37,Private,Other-service,Asian-Pac-Islander,Female,Some-college,United-States,Never-married,<=50K
23,Private,Transport-moving,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
52,Private,Sales,White,Female,HS-grad,Laos,Married-civ-spouse,>50K
17,Private,Adm-clerical,Asian-Pac-Islander,Female,Some-college,Laos,Married-civ-spouse,<=50K
72,Private,Adm-clerical,White,Female,HS-grad,United-States,Divorced,<=50K
17,Private,Tech-support,White,Male,Assoc-acdm,United-States,Never-married,<=50K
47,Private,Prof-specialty,White,Female,Assoc-acdm,United-States,Never-married,<=50K
58,Private,Adm-clerical,White,Male,Assoc-acdm,United-States,Married-civ-spouse,>50K
34,Self-emp-inc,Transport-moving,White,Male,Some-college,Honduras,Married-civ-spouse,>50K
17,Private,Sales,White,Male,Bachelors,United-States,Never-married,<=50K
17,Private,Exec-managerial,Asian-Pac-Islander,Male,Masters,Taiwan,Married-civ-spouse,>50K
31,Self-emp-not-inc,Prof-specialty,Black,Female,Bachelors,United-States,Divorced,>50K
23,Private,Sales,White,Male,Some-college,South,Married-spouse-absent,<=50K
36,Self-emp-not-inc,Machine-op-inspct,White,Male,Some-college,United-States,Never-married,<=50K
82,Self-emp-not-inc,Sales,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
37,Private,Machine-op-inspct,White,Female,5th-6th,Mexico,Married-civ-spouse,<=50K
28,Private,Tech-support,White,Female,Some-college,United-States,Never-married,<=50K
84,Private,Other-service,White,Female,HS-grad,United-States,Widowed,<=50K
53,Self-emp-not-inc,Exec-managerial,Amer-Indian-Eskimo,Male,HS-grad,United-States,Married-civ-spouse,<=50K
48,Private,Machine-op-inspct,White,Male,Some-college,United-States,Married-civ-spouse,<=50K
33,Private,Transport-moving,White,Male,HS-grad,United-States,Divorced,<=50K
17,Private,Exec-managerial,White,Female,11th,United-States,Never-married,<=50K
79,Self-emp-not-inc,Craft-repair,White,Male,Masters,United-States,Married-civ-spouse,<=50K
90,Self-emp-not-inc,Farming-fishing,White,Male,Doctorate,United-States,Married-civ-spouse,<=50K
48,Private,Prof-specialty,White,Female,Some-college,United-States,Married-civ-spouse,>50K
40,Self-emp-not-inc,Handlers-cleaners,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
62,Private,Transport-moving,White,Male,HS-grad,United-States,Never-married,<=50K
46,Private,Craft-repair,Black,Male,Some-college,United-States,Never-married,<=50K
17,Private,Adm-clerical,White,Male,Prof-school,United-States,Never-married,<=50K
61,Private,Other-service,White,Male,Assoc-voc,United-States,Never-married,<=50K
72,Local-gov,Adm-clerical,White,Male,10th,United-States,Married-civ-spouse,<=50K
60,Private,Transport-moving,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
17,Private,Other-service,White,Male,5th-6th,Mexico,Never-married,<=50K
22,Private,Craft-repair,White,Male,HS-grad,Vietnam,Never-married,<=50K
51,Private,Prof-specialty,Other,Male,Masters,United-States,Never-married,<=50K
17,Private,Sales,Black,Male,HS-grad,Haiti,Never-married,<=50K
45,Private,Other-service,Black,Male,HS-grad,United-States,Married-civ-spouse,<=50K
20,Private,Sales,White,Male,Assoc-acdm,United-States,Never-married,<=50K
17,Private,Craft-repair,White,Male,Assoc-voc,United-States,Married-civ-spouse,>50K
27,State-gov,Protective-serv,White,Male,1st-4th,United-States,Married-civ-spouse,>50K
28,Private,Farming-fishing,White,Male,HS-grad,United-States,Never-married,<=50K
17,State-gov,Protective-serv,Black,Female,Some-college,United-States,Never-married,<=50K
56,Self-emp-not-inc,Sales,White,Male,Bachelors,El-Salvador,Never-married,<=50K
79,Private,Other-service,White,Male,Assoc-acdm,Iran,Married-spouse-absent,<=50K
23,Private,Prof-specialty,White,Male,Bachelors,United-States,Never-married,<=50K
73,Private,Exec-managerial,White,Male,Bachelors,Taiwan,Married-civ-spouse,>50K
25,Private,Other-service,White,Male,HS-grad,United-States,Married-civ-spouse,<=50K
17,Private,Exec-managerial,White,Male,Bachelors,United-States,Married-civ-spouse,>50K
90,Local-gov,Transport-moving,White,Male,11th,United-States,Married-civ-spouse,<=50K
46,Federal-gov,Adm-clerical,White,Male,HS-grad,United-States,Married-civ-spouse,>50K
90,Self-emp-inc,Other-service,Other,Male,11th,United-States,Widowed,<=50K
42,Private,Tech-support,White,Male,Assoc-voc,United-States,Married-civ-spouse,>50K
38,Private,Adm-clerical,White,Female,HS-grad,United-States,Married-civ-spouse,<=50K
17,Self-emp-not-inc,Craft-repair,White,Male,9th,Portugal,Married-civ-spouse,<=50K
21,Private,Other-service,White,Female,10th,United-States,Married-civ-spouse,<=50K
52,Private,Prof-specialty,White,Male,Masters,United-States,Married-civ-spouse,>50K
90,Private,Transport-moving,White,Male,Bachelors,Holand-Netherlands,Married-civ-spouse,<=50K
25,Private,Exec-managerial,White,Male,Bachelors,United-States,Divorced,>50K
20,Private,Sales,White,Male,HS-grad,United-States,Married-spouse-absent,<=50K
28,Private,Craft-repair,White,Male,HS-grad,Peru,Married-civ-spouse,<=50K
